"Timestamp";"UserPrincipalName";"TemporaryPassword";"Status";"Message"
"2026-01-07 15:23:43";"alif.mardiono@M365x57702712.onmicrosoft.com";"tuwB*GeU7iBj";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:43";"alif.ramlan@M365x57702712.onmicrosoft.com";"Rn%8Yp6uaDFE";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:43";"andi.valentino@M365x57702712.onmicrosoft.com";"w@3q8Pz%@qGL";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:44";"bagas.wibisono@M365x57702712.onmicrosoft.com";"E*x7&2CRa^CM";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:44";"bima.iskandar@M365x57702712.onmicrosoft.com";"VsqBSB#Eapaw";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:44";"bima.jamaludin@M365x57702712.onmicrosoft.com";"MyaVKwh%H6^p";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:44";"bulan.bahari@M365x57702712.onmicrosoft.com";"fZE3yLwbmfME";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:45";"dani.umara@M365x57702712.onmicrosoft.com";"i3cvjMih5wZ2";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:45";"elang.bachtiar@M365x57702712.onmicrosoft.com";"Ue$v2yV47DFS";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:45";"fauzi.nasution@M365x57702712.onmicrosoft.com";"!*^zy#F9BuXZ";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:46";"fikri.ramdhan@M365x57702712.onmicrosoft.com";"6EGpkGMYL2hH";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:46";"gery.kautsar@M365x57702712.onmicrosoft.com";"TgbJK4ta!R^q";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:46";"gilang.effendi@M365x57702712.onmicrosoft.com";"i^x$TvACBkTr";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:46";"hana.kautsar@M365x57702712.onmicrosoft.com";"Z*ojNgSoggbh";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:47";"ilham.widianto@M365x57702712.onmicrosoft.com";"*8ax5a6Kpnho";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:47";"IsaiahL@M365x57702712.OnMicrosoft.com";"cYJstrEs*jpv";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:47";"iwan.wiratama@M365x57702712.onmicrosoft.com";"rMPVhraiY@%S";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:48";"jihan.ismail@M365x57702712.onmicrosoft.com";"yQMNBYvs%TrX";"SUCCESS";"Password auto-generated and reset"
"2026-01-07 15:23:48";"jihan.valianto@M365x57702712.onmicrosoft.com";"2Z5$fJCP8yFF";"SUCCESS";"Password auto-generated and reset"
